Song Name,Buildups,Drops,BPMs
3Lau___How_You_Love_Me,,"68.1, 158.1",128
Alan_Walker___The_Spectre,,"72.4, 158.6",128
Ariana_Grande___No_Tears_Left_To_Cry_(Dark_Intensity_Remix),"78.8, 156.9, 217.8","94.0, 172.1, 233.1",126
Ariana_Grande___Side_To_Side_(TRU_Concept_Remix_ft._Romany),"33.0, 154.9","48.2, 170.1",126
AronChupa___I'm_An_Albatraoz,,"52.6, 82.6, 129.4",128
Ava_Max___Sweet_but_Psycho_(Paul_Morrell_Remix),,"47.1, 137.1",128
Avicii___The_Nights,,"64.1, 140.3",126
Avicii___Wake_Me_Up,,"86.2, 194.6, 210.1",124
Axwell_Ingrosso_On_My_Way_Dave_Winnel_Remix,"30.6, 174.2","60.8, 189.3",123
Axwell_Ingrosso___More_Than_You_Know_(Extended_Mix),"70.3, 171.8","93.8, 203.0",127
Bastille___Good_Grief_(Don_Diablo_Remix),"57.8, 141.6","88.3, 172.1",126
Bebe_Rexha___I_Got_You_(DJ_Andy_Light___DJ_Pavlov_Remix),"31.9, 136.9","46.9, 166.9",128
Bee_Gees___Stayin'_Alive_(EVRYBDY_Bootleg),"76.9, 151.7","92.2, 167.1",125
Calvin_Harris___Disciples___How_Deep_Is_Your_Love,"67.4, 154.8","92.9, 170.3",125
Calvin_Harris___I_Need_Your_Love,"75.0, 150.0, 210.0","90.1, 165.1, 225.1",124
Calvin_Harris___My_Way_(Danny_Dove_Remix),"30.9, 108.3, 170.3","46.5, 123.9, 185.8",128
Calvin_Harris___Summer_(Extended),"47.2, 110.2, 157.3","62.9, 125.9, 173.1",124
Calvin_Harris___This_Is_What_You_Came_For_(feat._Rihanna),"23.2, 88.4, 149.9, 195.9","38.5, 103.8, 165.2, 211.3",122
Calvo___Vicious_Girl_(Original_Mix),"61.5, 153.7","76.9, 169.0",125
Camila_Cabello___Havana_ft._Young_Thug_(Dim_Wilder_Remix),"32.6, 132.5","48.0, 147.8",125
Cascada_-_Everytime_we_Touch,,"32.8, 156.2",71
Cash_Cash___Take_Me_Home,"60.2, 137.0","75.1, 152.0",128
Charlie_Puth___Attention_(Amice_Remix),"61.0, 152.5","76.3, 167.7",126
Cheat_Codes_(ft._Demi_Lovato)___No_Promises_(Ashworth_Remix),"42.0, 106.0","58.0, 122.0",121
Cheat_Codes___DVBBS___I_Love_It,"64.5, 147.8","80.3, 163.7",120
DEV___In_The_Dark,,"68, 176.7",128
DJ_Snake___Turn_Down_For_What,,"68.9, 184.2",86
DVBBS___Tsunami,"20.7, 58.2, 95.7, 133.2","28.2, 65.7, 103.2, 140.7",126
DVBBS___Ur_on_My_Mind,"46.0, 126.6","66.6, 162.3",128
Dada_Life___Born_To_Rage,,"34.8, 92.4, 194.1",125
Dada_Life___So_Young_So_High,,"80, 174.8",74
David_Guetta___Titanium_(feat._Sia),,"20.8, 78.4, 136",100
Deorro_(ft._Pitbull___Elvis_Crespo)___Bailar,,"77.5, 154.4",96
Diplo___Revolution,"60.9, 137.1, 198.1","76.1, 152.3, 213.3",128
EDX___Feel_the_Rush,"80.0, 175.3","110.5, 190.5",126
East___Young___Elevate_(Original_Mix),,"35, 155",124
Ellie_Goulding___On_My_Mind_(Jax_Jones_Remix),"52.5, 157.5","67.5, 172.5",128
Emily_Vaughn___Better_Off_(Lash_Remix),"76.8, 169.0","92.2, 184.3",125
Galantis___Hunter,"90.0, 180.0","105.0, 195.0",128
Galantis___Love_on_Me,,"68.7, 137.3",98
Galantis___Peanut_Butter_Jelly_(Extended_Mix),,"64.7, 153.8",124
Galantis___Runaway_(U___I),,"55.7, 138.9",75
Halsey___Bad_At_Love_(Generik_Remix),"39.4, 116.8","54.9, 132.4",124
Halsey___New_Americana_(OLWIK_Remix),"23.4, 107.9","40.7, 125.2",125
KSHMR___Power,"45.7, 137.2","64.8, 156.2",126
Keanu_Silva___Pump_Up_The_Jam_Extended_Mix,,"30.3, 99.4",99
Lana_del_Ray___Summertime_Sadness,,"68.8, 167.7",126
Loud_Luxury___Body_(Extended_Mix),"70.8, 145.6","86.6, 161.3",122
Lucas___Steve___Up_Till_Dawn_(On_The_Move)_Club_Mix,,"95.3, 209.5",126
MAGIC____Rude_(Zedd_Remix),"38.1, 114.3, 144.8","53.4, 129.5, 160.0",126
MOTi___Livin_4_Ya,"103.3, 236.3","118.1, 152.5",126
M_22___Good_to_be_Loved_(KREAM_Remix),"48.2, 127.6","64.1, 143.4",130
Maggie_Lindemann___Pretty_Girl_(Cheat_Codes_x_Cade_Remix),,"45.2, 98.5, 138.5 ",108
Major_Lazor___Light_It_Up,,"20.4, 74.5, 169.1",71
Marshmello___Alone,"41.7, 133.6","58.5, 150.3",115
Marshmello___Anne_Marie___FRIENDS_(Borgeous_Remix),,"40.3, 124.1",126
"Martin_Garrix,_Dimitri_Vegas___Like_Mike___Tremor",,"75.0, 120.0, 202.5",128
Martin_Garrix_(feat_Dua_Lipa)Scared_To_Be_Lonely_(Brooks_Remix),"67.5, 165.0","97.5, 195.0",128
Martin_Garrix___There_For_You_(Remix),,"97.5, 195.0",128
Martin_Garrix___Third_Party___Lions_In_The_Wild_(Extended_Mix),,"62.6, 158.2, 228.4",123
Martin_Jensen___Solo_Dance,,"123.9, 193.6, 282.6",124
Martin_Solveig___All_Stars_(ft._ALMA)_(Club_Mix),"60.0, 150.0","75.0, 172.5",128
Michael_Jackson___Love_Never_Felt_So_Good_(Fedde_Le_Grand_Remix),"80.6, 180.5","96.0, 195.8",125
Miley_Cyrus___Malibu_(The_Him_Extended_Mix),,"61.1, 76.3, 152.5, 167.7",126
Oliver_Heldens___Throttle___Waiting,"42.2, 153.6","57.6, 169.0",125
Paul_Damixie___Get_Lost_(Extended_Version)_16.05.17_17,"96.0, 160.0, 208.0","112.0, 176.0, 224.0",120
Rihanna___Work_(R3hab_Remix),,"69.5, 158.3",100
Selena_Gomez___Marshmello___Wolves_(Lodato_Bootleg),,"84.3, 175.7",126
"Steve_Aoki,_Daddy_Yankee,_Play_N_Skillz,_Elvis_Crespo___Azukita","44.5, 103.5, 177.4","59.2, 118.3, 192.1",130
The_Chainsmokers___Closer_(Jauz_Remix),"52.5, 97.5, 172.5","67.5, 112.5, 187.5",128
The_Chainsmokers___Don't_Let_Me_Down_(Illenium_Remix),,"84, 174",80
The_Chainsmokers___Good_Intentions_(Speaker_of_the_House_Remix),,"93.4, 200.1",126
The_Chainsmokers___Paris_(Beau_Collins_Remix),,"54.4, 131.8, 178.3",124
The_Weeknd___Can't_Feel_My_Face_(Martin_Garrix_Remix),,"80.7, 202.5",128
The_Weeknd_ft._Daft_Punk___Starboy_(Stephen_Murphy_Remix),"62.3, 186.2","93.3, 217.2",124
Tiesto___Boom,,"19.6, 103.5",123
Tiësto___Oliver_Heldens___The_Right_Song_(feat._Natalie_La_Rose),"47.9, 140.1","63.3, 155.5",124
Tiësto___Summer_Nights_(feat._John_Legend),"61.9, 123.8","77.4, 139.3",125
Tove_Lo___Talking_Body_(KREAM_Remix),"31.1, 93.0, 139.5","46.6, 108.6, 149.2",124
Tujamo___Drop_That_Low,,"76.5, 171.8",126
Twenty_One_Pilots___Stressed_Out_(Dave_Winnel_Remix),"30.6, 151.9","61.0, 168.6",126
Valentino_Khan___Deep_Down_Low,,"61.1, 137.3",126
WALK_THE_MOON___Shut_Up_and_Dance_(The_White_Panda_Remix),"26.2, 93.7","41.2, 123.7",128
White_Label___Is_This_Love,,"48.2, 143.4",126
Yeah_Yeah_Yeahs_x_A_Trak___Heads_Will_Roll_(DiscoTech_Remix),"75.0, 135.0, 225.0","90.0, 153.7, 240.0",128
Zedd_Ft_Liam_Payne___Get_Low_(Callum_Knight_Remix),"68.5, 179.3","83.3, 194.0",130
Zedd___I_Want_You_To_Know_(Feat._Selena_Gomez),"63.7, 142.5","78.7, 157.5",128
Zedd___Stay_(Revolt_Remix),,"70.6, 154.4, 215.3",216
Zedd___The_Middle_(Alphalove_Remix),"78.7, 140.2, 188.1","94.1, 155.5, 203.5",125
